A,B,mean_A,mean_B,diff,t_stat,p_value,hedges_g
RANDOM,BACK_TO_FRONT,126.0150564588927,192.6839392709624,-66.66888281206971,-39.42935612264943,5.2328295981657345e-93,-5.5550045240480515
RANDOM,FRONT_TO_BACK,126.0150564588927,247.01836605050892,-121.00330959161622,-63.78058496886023,6.068524417301233e-122,-8.985727206560398
RANDOM,BLOCKS_K2,126.0150564588927,76.10662665375591,49.90842980513679,40.12367880525588,1.6187052242557223e-87,5.652824169670226
BACK_TO_FRONT,FRONT_TO_BACK,192.6839392709624,247.01836605050892,-54.334426779546504,-26.391764480942232,8.204929322606674e-66,-3.7182035291981244
BACK_TO_FRONT,BLOCKS_K2,192.6839392709624,76.10662665375591,116.5773126172065,78.84020163516477,2.5582063869893397e-121,11.10740118093444
FRONT_TO_BACK,BLOCKS_K2,247.01836605050892,76.10662665375591,170.911739396753,99.90299299983079,8.699123960458232e-127,14.074832374988086
