Method,mean,median,std,min,max,n,ci95_half
RANDOM,126.01505645889273,125.53428464429908,10.53503008177702,102.11955042738988,152.11210169301793,100,2.0648658960282957
BACK_TO_FRONT,192.6839392709624,192.4782197342073,13.225294735544285,168.72238210075886,241.6475884027033,100,2.59215776816668
FRONT_TO_BACK,247.01836605050892,246.38439838615818,15.77791779019081,206.8838601135773,283.8672617662408,100,3.0924718868773993
BLOCKS_K2,76.10662665375591,75.827459579865,6.61310013676319,57.93540645780667,94.73803258943045,100,1.2961676268055853
