Method,test,stat,p_value
RANDOM,normality,0.9936969665082993,0.9263213892981259
BACK_TO_FRONT,normality,0.9585455195749255,0.003171340379957603
FRONT_TO_BACK,normality,0.9936540112624211,0.9241942801703683
BLOCKS_K2,normality,0.9859019925912548,0.3681091174482921
ALL,equal_var (Levene),18.766590657181673,2.1176621516979846e-11
