method,rows,time_min
FRONT_TO_BACK,40,201.73529005083142
FRONT_TO_BACK,40,210.7761143470921
FRONT_TO_BACK,40,179.85841192380062
FRONT_TO_BACK,40,184.77185206166473
FRONT_TO_BACK,40,208.47825758055959
FRONT_TO_BACK,40,218.55288773357987
FRONT_TO_BACK,40,162.74371989981552
FRONT_TO_BACK,40,196.78176510669073
FRONT_TO_BACK,40,222.04304071002096
FRONT_TO_BACK,40,191.94827812933468
FRONT_TO_BACK,40,219.86483958972082
FRONT_TO_BACK,40,169.29539959040903
FRONT_TO_BACK,40,198.17538432286852
FRONT_TO_BACK,40,204.7440576131993
FRONT_TO_BACK,40,196.20798063597852
FRONT_TO_BACK,40,175.81009420032086
FRONT_TO_BACK,40,180.39342552518795
FRONT_TO_BACK,40,195.54417525968296
FRONT_TO_BACK,40,191.5016086908838
FRONT_TO_BACK,40,212.9690214180563
FRONT_TO_BACK,40,209.77330765986966
FRONT_TO_BACK,40,202.1121451349339
FRONT_TO_BACK,40,209.8667749969906
FRONT_TO_BACK,40,208.8975625179905
FRONT_TO_BACK,40,194.5656764738382
FRONT_TO_BACK,40,202.7129962489411
FRONT_TO_BACK,40,201.70395858232902
FRONT_TO_BACK,40,208.0647519077307
FRONT_TO_BACK,40,200.06827480230174
FRONT_TO_BACK,40,204.4140744621129
FRONT_TO_BACK,40,207.31439101185748
FRONT_TO_BACK,40,191.59048298284273
FRONT_TO_BACK,40,216.66016059736316
FRONT_TO_BACK,40,204.94147242694166
FRONT_TO_BACK,40,215.93611252181407
FRONT_TO_BACK,40,191.2350698461094
FRONT_TO_BACK,40,193.79258879562218
FRONT_TO_BACK,40,189.8010916894503
FRONT_TO_BACK,40,204.43305338679764
FRONT_TO_BACK,40,200.75250414327118
FRONT_TO_BACK,40,199.77686338762777
FRONT_TO_BACK,40,193.50711399201415
FRONT_TO_BACK,40,206.11449436739454
FRONT_TO_BACK,40,195.36676484400795
BLOCKS_K2,40,73.38594763110515
BLOCKS_K2,40,70.92355098698206
BLOCKS_K2,40,58.654685558949964
BLOCKS_K2,40,63.705852541536686
BLOCKS_K2,40,53.54012011065235
