run,time_min,cum_mean_min,seed
1,147.23761622719996,147.23761622719996,12345
2,143.5297153412709,145.38366578423543,12346
3,163.32011938845864,151.36248365230983,12347
4,145.5249949568984,149.903111478457,12348
5,145.47877532176994,149.01824424711958,12349
6,167.7427564998154,152.13899628923556,12350
7,157.31214105565755,152.87801697015297,12351
8,158.92865212025316,153.6343463639155,12352
9,161.20774914448754,154.47583556175684,12353
10,125.39110920707773,151.56736292628892,12354
11,151.40639209075917,151.55272921396806,12355
12,150.9419403393877,151.50183014108634,12356
13,144.71532071533332,150.97979095448997,12357
14,148.28920191337465,150.78760602298172,12358
15,156.19735670421886,151.14825606839753,12359
16,158.48089231290578,151.6065458336793,12360
17,129.66268147791038,150.31573028333995,12361
18,136.64525376967495,149.55625936591412,12362
19,141.60266496225785,149.13764913414275,12363
20,150.43240709464874,149.20238703216802,12364
21,155.7662982723076,149.51495423407945,12365
22,151.2892192731402,149.59560264494584,12366
23,146.164908515489,149.44644203062163,12367
24,146.11332584055683,149.30756218936892,12368
25,158.12041029167267,149.66007611346106,12369
26,147.30640648518903,149.56955035852755,12370
27,158.0792396573849,149.88472403626298,12371
28,179.1421837332222,150.9296333111544,12372
29,156.71605874798576,151.12916522276925,12373
30,142.67118174194923,150.84723244007526,12374
31,146.97619781236708,150.72236035531046,12375
32,154.81647878055958,150.85030155609954,12376
33,160.67918050547294,151.14814637274722,12377
34,163.11509931454302,151.50011557691766,12378
35,148.17946244829756,151.4052397732428,12379
36,154.7503851544348,151.49816047827593,12380
37,172.79483441210272,152.07374626027124,12381
38,151.96460594899293,152.07087414681655,12382
39,150.15590097508777,152.02177227061838,12383
40,138.60347960852505,151.68631495406603,12384
41,151.09270841744822,151.67183674585584,12385
42,139.72184827363037,151.38731321080286,12386
43,155.24559586075014,151.47704071428998,12387
44,149.1544294521823,151.42425409469664,12388
45,157.82756366133265,151.5665498628441,12389
46,164.25254847983027,151.84233244147427,12390
47,140.50731924326263,151.6011619478953,12391
48,145.16472173710812,151.4670694435039,12392
49,151.2227000860752,151.46208231376045,12393
50,144.65187475505013,151.32587816258624,12394
51,150.50069944574676,151.30969818774625,12395
52,161.67784451873612,151.50908561718836,12396
53,151.67775436755096,151.51226804644048,12397
54,150.54921800246157,151.4944337863668,12398
55,147.81881299998457,151.42760431752347,12399
56,155.537824880956,151.50100111329905,12400
57,156.63969847081202,151.59115369851858,12401
58,147.093772941643,151.51361265098626,12402
59,171.9248263973178,151.8595654263478,12403
60,146.4754719121171,151.76983053444397,12404
61,143.98520855159882,151.64221378062686,12405
62,161.86465971037188,151.80709194078403,12406
63,148.34362400794174,151.75211625931036,12407
64,140.77390712153635,151.5805817415326,12408
65,157.65619224529513,151.67405267235972,12409
66,142.98535152297876,151.54240568524787,12410
67,167.28910139958447,151.77743099441707,12411
68,153.1925978174131,151.79824227122586,12412
69,153.89672942102834,151.82865512846936,12413
70,132.54221678740524,151.55313458073988,12414
71,168.44860049131117,151.79109888933948,12415
72,147.64046370268363,151.7334511784137,12416
73,149.5671539460546,151.70377587386082,12417
74,143.43607731500538,151.59205021766007,12418
75,154.34331835251595,151.62873379279148,12419
