run,time_min,cum_mean_min,seed
1,161.25608356488272,161.25608356488272,22345
2,167.21922698621543,164.23765527554906,22346
3,171.1372188097488,166.53750978694896,22347
4,181.54456526897377,170.28927365745517,22348
5,164.6348057211955,169.15838007020324,22349
6,167.93303880227654,168.9541565255488,22350
7,166.17640281492118,168.5573345668877,22351
8,180.06784881647116,169.99614884808562,22352
9,169.53872281286374,169.94532373306097,22353
10,156.39938110867638,168.59072947062253,22354
11,170.52425966603,168.7665049429323,22355
12,169.94268199637466,168.86451969738582,22356
13,181.1339056805438,169.8083186191672,22357
14,175.80534546356853,170.2366776794816,22358
15,168.13622221908594,170.09664731545524,22359
16,166.07124035948752,169.84505938070723,22360
17,183.95713351730888,170.67518138874263,22361
18,175.70047610524063,170.95436442854808,22362
19,156.26698055273704,170.18134422455805,22363
20,149.72498668042263,169.15852634735126,22364
21,178.30612121989407,169.59412610318662,22365
22,164.97359128569093,169.38410179330046,22366
23,156.10173790764483,168.80660771131542,22367
24,173.08496104970635,168.98487243374836,22368
25,178.19509795316588,169.35328145452505,22369
26,186.25241830753845,170.00324825656404,22370
27,171.10114276186079,170.04391101601945,22371
28,163.1479197461834,169.7976256135253,22372
29,164.48764608571454,169.614522871187,22373
30,179.84793158030283,169.9556364948242,22374
31,178.94108781623822,170.2454897632569,22375
32,185.01495712611168,170.70703561834614,22376
33,162.04291660899705,170.44448655745677,22377
34,174.17517343674564,170.55421264214172,22378
35,167.04190208145468,170.4538609118364,22379
36,180.51377976870899,170.73330310230506,22380
37,178.1202464966468,170.93295022107108,22381
38,185.80806868562905,171.3244007069805,22382
39,186.24088343934557,171.70687462319498,22383
40,174.993972662529,171.78905207417833,22384
41,182.74219039576923,172.0562017893391,22385
42,183.3589038168217,172.3253137423744,22386
43,174.9610284578339,172.3866094334316,22387
44,168.67606525478328,172.30227888391687,22388
45,168.01381612318156,172.20697971145609,22389
46,170.97682870053512,172.1802372981752,22390
47,170.51866911602445,172.14488478366135,22391
48,166.47443128220755,172.02675033571438,22392
49,188.0959695354713,172.354693584689,22393
50,162.3144585340859,172.15388888367693,22394
51,174.01099421524881,172.19030271370772,22395
52,175.79314514916376,172.25958814515883,22396
53,159.36231340860303,172.0162433388087,22397
54,176.39325927248444,172.09729918943233,22398
55,172.37533879652395,172.10235445501584,22399
56,174.42202974370383,172.14377722802814,22400
57,164.64906494263195,172.0122910475826,22401
58,164.82707311196882,171.8884079797272,22402
59,165.86507994049032,171.7863176739774,22403
60,175.52144170222556,171.84856974111486,22404
61,156.3221808521768,171.59403877572245,22405
62,176.25736239847458,171.66925367286362,22406
63,174.33291817210204,171.71153406174042,22407
64,170.3369300947576,171.6900558747563,22408
65,169.8624286459786,171.66193853277508,22409
66,169.81601002875757,171.63396991907786,22410
67,170.16071294932274,171.6119810090815,22411
68,169.5105092705197,171.5810770129262,22412
69,175.24749219524602,171.63421346484384,22413
70,160.45101271091505,171.47445345407343,22414
71,171.8476030219955,171.47970908179065,22415
72,171.9333017350986,171.48600897975328,22416
73,167.7642483655212,171.4350259576405,22417
74,181.36656373671678,171.56923592762806,22418
75,161.25447508956344,171.43170578312052,22419
76,162.13959541802473,171.30944117305344,22420
77,195.00704452003768,171.61720225548183,22421
78,167.81633829177545,171.5684732303061,22422
79,183.231433800386,171.7161056425856,22423
80,171.7559933762172,171.71660423925601,22424
81,174.77067385045348,171.7543088023572,22425
82,182.06926566701662,171.8801009592433,22426
83,167.30498734547302,171.82497910847496,22427
84,164.8272065931152,171.74167229281593,22428
85,169.27364128117836,171.7126366338555,22429
86,183.02265961465383,171.84414852898107,22430
87,162.56038477421447,171.73743860076536,22431
88,179.97441343213416,171.83104058748543,22432
89,169.99758997341502,171.81044001878803,22433
90,172.96159133587798,171.8232305889779,22434
91,190.07631384976713,172.02381392151406,22435
92,183.97951898432945,172.15376723741423,22436
93,159.66261102420793,172.01945372974535,22437
94,169.15825419507217,171.98901543682328,22438
95,183.55534362512753,172.11076625985805,22439
96,157.02805234660002,171.95365465659495,22440
97,174.06130618159912,171.97538302283212,22441
98,167.03356564508732,171.92495631489595,22442
99,185.5334542007863,172.06241588950093,22443
100,192.60236973061114,172.26781542791204,22444
101,187.24604823061452,172.41611476259226,22445
102,173.71315248329734,172.42883081867762,22446
103,171.69797356842213,172.42173511721882,22447
104,190.30622618622047,172.59370137749767,22448
105,162.66874397363605,172.49917797365134,22449
106,188.30043517477554,172.6482464378129,22450
107,159.4210037067421,172.52462734686833,22451
108,164.60566187899863,172.4513035925362,22452
109,164.2082364825041,172.37567912363681,22453
110,171.90857373460577,172.37143271100928,22454
111,172.8272979211879,172.37553960479465,22455
112,165.01725301390383,172.30984061737595,22456
113,170.14823924332387,172.29071140167636,22457
114,183.6574234118579,172.39041940176566,22458
115,162.8247800663668,172.30723992928392,22459
116,179.99388609625552,172.3735041203785,22460
117,177.7102968541955,172.41911773348804,22461
118,194.19365777270576,172.6036477338204,22462
119,158.65507502150575,172.48643283707827,22463
120,180.80018264412894,172.55571408547038,22464
121,185.49373103783262,172.66263984540728,22465
122,177.47026062437413,172.70204657310373,22466
123,173.29647320440228,172.70687930994356,22467
124,162.96151154746153,172.62828763443966,22468
125,175.53489305659986,172.65154047781695,22469
126,163.91667008414703,172.58221610961323,22470
127,166.19534950716138,172.53192582140494,22471
128,169.5819948676823,172.50887948582897,22472
129,184.23580465200547,172.599785882466,22473
130,175.4508237589829,172.6217169430546,22474
131,172.64289073745942,172.62187857507297,22475
132,190.109419030105,172.7543599421565,22476
133,160.41742317946566,172.66160101912877,22477
134,159.32868581201473,172.56210165191152,22478
135,181.07585004604886,172.62516645483103,22479
136,166.50401164973994,172.58015796361713,22480
137,161.25186748218496,172.49746971192783,22481
138,170.8717142142466,172.48568887498814,22482
139,156.57073332480317,172.37119279189326,22483
140,172.96833157386766,172.3754580689074,22484
141,187.58114174692147,172.48329979712025,22485
142,163.6840254612893,172.42133307644536,22486
143,170.43225391827286,172.40742343198264,22487
144,178.55607526859518,172.4501224030702,22488
145,162.10738195751244,172.3787931586181,22489
146,167.79602753902162,172.3474043530044,22490
147,183.8127607956572,172.4253999750633,22491
148,170.81602203598703,172.41452579979926,22492
149,166.48468564385908,172.37472821486006,22493
150,178.931027748257,172.41843687841606,22494
151,175.32968747691734,172.43771668370414,22495
152,168.789712738211,172.41371665774693,22496
153,180.10272194917468,172.4639715942922,22497
154,162.71914954428797,172.40069352903245,22498
155,169.2675196649035,172.38047950410257,22499
156,186.75207255399786,172.47260510057626,22500
157,165.59523622097805,172.42880020325399,22501
158,174.25510571299094,172.44035909888524,22502
159,164.16769273727357,172.388329750699,22503
160,163.69614765391862,172.33400361259413,22504
161,185.14733943650938,172.41358954938866,22505
162,161.7626543400464,172.3478430357507,22506
163,161.0286557896237,172.27840016921004,22507
164,176.64303501786043,172.30501379633597,22508
165,192.56127518728192,172.42777901688714,22509
166,170.2897095857832,172.4148990805552,22510
167,168.69103701647947,172.3926005053212,22511
168,173.21381333027313,172.39748867689832,22512
169,169.40246578200032,172.37976664793442,22513
170,160.88877682580176,172.3121725901572,22514
171,174.14906370718035,172.3229146434731,22515
172,169.21015384915384,172.3048171969945,22516
173,176.57718246037606,172.329512949962,22517
174,160.59392195918468,172.26206702472768,22518
175,161.47488251821792,172.20042597040475,22519
176,173.50441816968328,172.2078350169916,22520
177,176.92227035892466,172.2344702449121,22521
178,176.56350182775367,172.25879064706288,22522
179,174.13867809517657,172.2692928115775,22523
180,165.61486410467688,172.2323237632058,22524
181,178.27370805303488,172.26570157696176,22525
182,179.28231993074803,172.3042544250595,22526
183,182.61168722575724,172.36057919446225,22527
184,170.73099722422666,172.35172277071095,22528
185,167.72145511250523,172.3266942968828,22529
186,178.7301119122124,172.36112127330932,22530
187,160.6602694899473,172.2985498733983,22531
188,168.22161300386196,172.27686403898585,22532
189,194.86174568157045,172.3963607672535,22533
190,169.1606440132272,172.3793306790744,22534
191,186.91394507671373,172.45542813665367,22535
192,158.3692278103327,172.38206250995412,22536
193,174.68508180792242,172.3939952524306,22537
194,173.1452728161405,172.39786781719204,22538
195,181.8356477219399,172.4462666884984,22539
196,168.28396416775874,172.42503045114768,22540
197,180.18317845505652,172.46441191309648,22541
198,169.30676345482,172.44846419361022,22542
199,180.4303262449244,172.48857405316457,22543
200,175.61143415176133,172.50418835365753,22544
201,178.77261608932085,172.53537456129763,22545
202,172.66886082857303,172.536035384403,22546
203,182.2609369564692,172.58394130347722,22547
204,179.61064263539808,172.61838591784937,22548
205,183.4342149058956,172.67114605925445,22549
206,168.13020357408135,172.64910264913226,22550
207,163.73533626013906,172.6060409757555,22551
208,165.8062786283854,172.5733498106239,22552
209,181.75199990804327,172.61726679673595,22553
210,162.0352434902687,172.5668762095623,22554
211,182.66218494682502,172.6147212746678,22555
212,163.92946577487905,172.57375308834807,22556
213,177.4045128284146,172.59643271154087,22557
214,165.16666096166995,172.56171415196204,22558
215,158.15625521500846,172.49471201737154,22559
216,170.04847426371228,172.4833868425861,22560
217,168.46790525813398,172.46488231915544,22561
218,166.41585424850177,172.43713448396895,22562
219,164.03589699655657,172.39877266895792,22563
220,163.28823910368874,172.35736115275216,22564
221,170.38499267977153,172.34843640853052,22565
222,185.01649535893313,172.40549973713595,22566
223,150.89439188412126,172.30903737008208,22567
224,169.27812633991317,172.29550651726882,22568
225,183.97666768937094,172.3474227891448,22569
