method,mean,median,std,min,max
BlocksK2,493.84,494.06,8.57,468.09,525.4
Random,589.23,588.61,13.73,543.57,632.21
BackToFront,589.61,589.55,13.8,542.64,636.89
FrontToBack,589.61,589.55,13.8,542.64,636.89
