method,count,mean,median,std,min,max,ci95_half
RANDOM,100,126.01505645889274,125.53428464429908,10.535030081777018,102.11955042738987,152.11210169301793,2.0648658960282953
BACK_TO_FRONT,100,192.6839392709624,192.4782197342073,13.225294735544283,168.72238210075886,241.6475884027033,2.5921577681666794
FRONT_TO_BACK,100,247.01836605050892,246.38439838615815,15.777917790190811,206.8838601135773,283.8672617662408,3.0924718868773993
BLOCKS_K2,100,76.10662665375591,75.827459579865,6.61310013676319,57.93540645780667,94.73803258943045,1.2961676268055855
